,Catalog number,Title 1 (Muktabodha),"Version: if only one version (default) = blank; if there is more than one version: version 1, 2, 3, etc.",Version: Based on: xxx: Bibliographical entry: Editor,"Version: Duplicates: if version 2, 3, etc. = ""catalogue number""",Version: General Remarks,Version: Internal Remarks,Version: Completeness: incomplete | fragments | excerpts | uncertain,Version: Completness: further notes and specifications,"Title source: If not specified=MB, otherwise: Intenal/External+type (e.g. Colophon), if reconstructed add *",Title 2 (Muktabodha),"Ancillary to: MB catalogue number, or ilxM- entry specifically created when MB catalogue number is not available","Ancillary Type: Vyākhyātantra | Uttaratantra | Commentary | Sub-commentary| Ritual | Other
 | Excerpts",Ancillary Note (most commonly: if the commentary includes the mūla),Subjects (as in MB),Author,Author/Person ID,Author's name: Source,Alternate name,"Alternate name: Source & Type (e.g. Muktabodha initial description, colophons etc.)",Colophon,Colophon Note
,C.N. according to Muktabodha,"As given by Muktabodha, with corrections on spelling if needed","Versions of the same text (or part of it, when the manuscript is incomplete)",>> Bib DB,List of the catalog number of equivalent versions ,Notes on the specific version (most commonly: if it is an exact copy of another),Additional information,,,,Alternative titles as listed in the Muktabodha initial description,,,,,,,,,,,"Its location (if not stated: at end); when multiple colophons have been listed, they are separated by ///, and the location of each colophon is respectively separated by ///"
,OA: ilx,,,,,,,,,,,,,,,"OA: if more than one name separated by comma, different authors to different texts or fragments of texts",,,,,,
0,M00198,Aṃśumatkāśyapāgama,,,,,,incomplete,lacking explicit+final colophon,,Aṃśumadāgama,,,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",,,,,,ityaṃśumatkāśyape karṣaṇavidhipaṭalaḥ (prathamaḥ),towards beginning
1,M00003,Akulavīratantra,,"Bagchi, P. C.",,,kaulajñānanirṇaya and some minor texts of the school ,,,,,,,,"['tantric / āgamic literature', 'kaula', 'kaula early pre 1100 AD']",Matsyendranātha,mbP0001,catalog,"Macchagnapāda, Macchendra","catalog, colophon",iti macchendrapādāvatārite kāmarūpisthāne yoginī prasādāllabdha(m) akulavīraṃ samāptam,
2,M00574,Agastyasaṃhitā,,,  ,,,,,,,,,,['tantric / āgamic literature'],,,,,,itiśrīagastisaṃhitāyāṃdvātriṃśodhyāyaḥ samāptoyaṃgraṃthaḥ,
3,M00246,Agnikāryapaddhati,,,,,,incomplete,lacking explicit+final colophon,,,,,,"['tantric / āgamic literature', 'kaula', 'kaula later post 1100 AD', 'śākta', 'Paddhati']",,,,,, atha vistare satyagnikāryapaddhatirlikhyate,at beginning
4,M00272,Acintyaviśvasādākhya,,,,,,,complete but final verses/colophon partially illegible,,,,,,"['tantra / āgama', 'śaiva', 'śaiva-siddhānta']",,,,,,iti cintyopabhede acintyaviśvasādākhye kriyāpāde tantrāvatāraḥ prathamaḥ paṭalaḥ ///  pa (* * *) midaṃ samāptamāsīt,in middle /// at end
,ilxM00001,Ajaḍapramātṛsiddhi,,,,,,,,,,,,,,Utpaladeva,mbP0002,colophon,,,,
5,M00658,Ajaḍapramātṛsiddhi Vṛtti,version 1,,M00658=M00502,exact copy/paste,,,,colophon,,ilxM00001,commentary,including the mūla,"['tantric / āgamic literature', 'non-dual śaivism of Kashmir']",Hara Śāstrī,mbP0129,colophon,Haribhaṭṭa Śāstrī,catalog,pramātṛsiddhāvācāryotpaladevakṛtau manāk | candrābdhyaṣṭendu 1841 śākābde śāstrī vṛttiṃ haro vyadhāt | ityajaḍapramātṛsiddhau śrīmanmahāmāheśvarācāryotpaladevapādaviracitāyāṃ vṛttiḥ samāptā | śrīmatpratāpabhūbharturājñayā prītaye satām | madhusūdanakaulena saṃpādyeyaṃ prakāśitā ,
6,M00622,Ajñānadhvāntadīpikā,,,,,,incomplete,lacking explicit+final colophon,,,,,,['śaiva'],Somanātha,mbP0003,incipit ,,,oṃsītākāntaṃhṛdi dhyātvāsomanāthomaheśajaḥ kurvevālāva vodhārtham ajñānadhvāntadīpikām,at beginning
